,fishpp,N,gflops_ratio,memory_ratio,img_size,bs,gflops,memory,patch_size,depth,embed_dim,num_heads,mask_levels,global_heads,mask_type,non_linear,non_linear_bias,global_proj_type,cls_token_pos,cls_token_type,layer_limit,layer_offset,metrics_test
0,False,577,1.0,1.0,384,1,15.518047104,0.5112977027893066,16,12,384,6,,,,,,,,,,,
1,True,577,0.8719731686155345,1.078863606054078,384,1,13.531320704,0.5516204833984375,16,12,384,6,3.0,1.0,dist,0.0,1.0,full,0.5,sum,8.0,0.0,True
2,True,577,0.8975785348924277,1.090244145825348,384,1,13.928665984,0.5574393272399902,16,12,384,6,3.0,2.0,dist,0.0,1.0,full,0.5,sum,8.0,0.0,True
3,True,577,0.9231839011693207,1.1072305550193096,384,1,14.326011264,0.566124439239502,16,12,384,6,3.0,3.0,dist,0.0,1.0,full,0.5,sum,8.0,0.0,True
4,True,577,0.8719731686155345,1.1072305550193096,384,1,13.531320704,0.566124439239502,16,12,384,6,3.0,1.0,dist,0.0,1.0,mix,0.5,sum,8.0,0.0,True
5,True,577,0.8975785348924277,1.2103986965957236,384,1,13.928665984,0.6188740730285645,16,12,384,6,3.0,2.0,dist,0.0,1.0,mix,0.5,sum,8.0,0.0,True
6,True,577,0.9231839011693207,1.3363680195920986,384,1,14.326011264,0.6832818984985352,16,12,384,6,3.0,3.0,dist,0.0,1.0,mix,0.5,sum,8.0,0.0,True
7,False,2305,1.0,1.0,384,1,98.189327232,3.686065673828125,8,12,384,6,,,,,,,,,,,
8,True,2305,0.815324547879269,1.2626949486691228,384,1,80.056168832,4.65437650680542,8,12,384,6,3.0,1.0,dist,0.0,1.0,full,0.5,sum,8.0,0.0,True
9,True,2305,0.8522596383034152,1.2655905896841495,384,1,83.682800512,4.665050029754639,8,12,384,6,3.0,2.0,dist,0.0,1.0,full,0.5,sum,8.0,0.0,True
10,True,2305,0.8891947287275614,1.267932431593327,384,1,87.309432192,4.67368221282959,8,12,384,6,3.0,3.0,dist,0.0,1.0,full,0.5,sum,8.0,0.0,True
11,True,2305,0.815324547879269,1.267932431593327,384,1,80.056168832,4.67368221282959,8,12,384,6,3.0,1.0,dist,0.0,1.0,mix,0.5,sum,8.0,0.0,True
12,True,2305,0.8522596383034152,1.5239538487808917,384,1,83.682800512,5.617393970489502,8,12,384,6,3.0,2.0,dist,0.0,1.0,mix,0.5,sum,8.0,0.0,True
13,True,2305,0.8891947287275614,1.7807386316595604,384,1,87.309432192,6.563919544219971,8,12,384,6,3.0,3.0,dist,0.0,1.0,mix,0.5,sum,8.0,0.0,True
